order_id,customer_id,customer_name,product_id,product_name,product_category,payment_type,qty,price,datetime,country,city,ecommerce_website_name,payment_txn_id,payment_txn_success,failure_reason
630080,590408,Breanna Kennedy,530828,Foundation,Beauty & Personal Care,InternetBanking,21350,15376.68,2024-07-16 22:06,Germany,Berlin,www.flipkart.com,4a52d6aa,N,Invalid CVV.
362262,476829,Ashley Alvarado,440590,Mechanical Pencil,pencil,UPI,140,648.01,2024-08-10 12:41,UK,London,www.tatacliq.com,61f7898e,N,Invalid CVV.
300771,59772,Chloe Hendricks,144544,Laptop,Electronics,Cards,97,342.8,2024-09-09 19:06,USA,Chicago,www.flipkart.com,b2cbc681,Y,
777849,240511,Lauren Hicks DDS,213414,Football,Sports & Outdoors,UPI,57,775.59,2024-04-07 12:42,USA,Chicago,www.tatacliq.com,e14a8f3e,Y,
345710,291685,Joseph Moreno,108569,Gel Pen,pen,Wallet,263,339.79,2024-05-28 16:40,Germany,Frankfurt,www.tatacliq.com,6681a7b7,N,Invalid CVV.
511717,241226,Kenneth Wilson,88422,Graphite Pencil,pencil,UPI,628,325.13,2024-07-27 03:21,USA,Boston,www.snapdeal.com,f5ea5636,Y,
407539,733452,Michael Downs,811831,Gel Pen,pen,UPI,976,449.6,2024-07-19 03:33,USA,Houston,www.ebay.in,769a5b73,Y,
679381,717566,Laura Alexander,262311,Headlights,Automotive,InternetBanking,597,92.96,2024-02-07 13:27,UK,Birmingham,www.amazon.com,e5506793,N,Invalid CVV.
621199,283558,Virginia Johnson,448693,Camera,Electronics,UPI,883,653.36,2024-06-08 08:04,UK,Oxford,www.amazon.com,96ad9173,Y,
440886,824672,Ryan Davenport,524300,Face Wash,Health & Personal Care,Wallet,607,105.41,2024-08-04 23:29,Germany,Stuttgart,www.snapdeal.com,c0b9c8c5,N,Invalid CVV.
592317,430468,Autumn Ferguson,581472,Decor,Home & Kitchen,InternetBanking,13,10.27,2023-10-13 04:52,UK,London,www.amazon.com,9c0a0b05,N,Invalid CVV.
241377,804329,Kelly Bonilla,281503,Shirt,Clothing,UPI,419,813.31,2024-08-27 17:59,Germany,Munich,www.flipkart.com,2f58a630,Y,
125005,302287,Valerie Ritter,582171,Hair Dryer,Beauty & Personal Care,InternetBanking,457,955.98,2024-02-28 20:23,India,Delhi,www.ebay.in,3532a6d4,N,Invalid CVV.
505493,486667,Colleen Delgado,45635,Cookware,Home & Kitchen,InternetBanking,382,257.03,2023-11-26 05:47,USA,Los Angeles,www.snapdeal.com,439eff03,Y,
295597,562121,Paul Lee,91640,Action Figure,Toys & Games,Cards,121,657.12,2024-02-25 09:21,USA,New York,www.ebay.in,b32e8160,N,Invalid CVV.
382491,580780,Jeffery Smith,482345,Camera,Electronics,InternetBanking,18,331.26,2024-05-05 07:40,USA,New York,www.ebay.in,6b54bf4e,N,Invalid CVV.
305499,646215,James Johnson,271829,Printer,Office Products,UPI,932,957.03,2024-04-27 02:44,UK,Leeds,www.flipkart.com,dd54fd63,N,Invalid CVV.
11305,752624,Timothy Campbell,337577,Ball Pen,pen,Wallet,337,703.29,2024-01-29 02:35,UK,Birmingham,www.snapdeal.com,0cd5ebc8,Y,
35279,306105,Marissa Randall,24292,Gel Pen,pen,InternetBanking,592,590.51,2023-10-08 05:08,USA,Chicago,www.ebay.in,ebdda5ea,N,Invalid CVV.
349261,158635,Mr. Brian Crawford,585335,Cookware,Home & Kitchen,UPI,423,120.52,2024-07-02 07:50,India,Delhi,www.amazon.com,6b81c3c2,Y,
996346,214053,Melanie Wong,172247,Puzzle,Toys & Games,InternetBanking,405,686.0,2024-08-23 17:53,UK,Birmingham,www.snapdeal.com,4e7a34e2,N,Invalid CVV.
